Item Type;Publication Year;Author;Title;Publication Title;Pages;Num Pages;Volume;Series;Place;Extra;Notes;Correspondance Sudoc;Correspondance BnF
book;1900;Ibsen, Henrik;"canard sauvage ; Rosmersholm";;;326 s.;;;Paris;;Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2010-10-06;['http://www.sudoc.fr/101114516'];['http://catalogue.bnf.fr/ark:/12148/cb387628149']
book;1900;Johannessen, Axel;dilatation hypertrophique du gros intestin chez l'infant;;;23 s. ill.;;;Paris;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
journalArticle;1900;"Ibsen, Henrik; Prozor, M.";Quand nous nous réveillerons d'entre les morts : épilogue en trois actes;La Revue de Paris;S. [5]-53;;Année 7, no 1(1. Jan. 1900);;;Place: Paris;;['http://www.sudoc.fr/16820052X'];Pas de notice trouvée dans le catalogue de la BnF
book;1900;"Ibsen, Henrik; Prozor, M.";Quand nous nous réveillerons d'entre les morts : drame en trois actes;;;220 s.;;;Paris;;Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2013-01-09;['http://www.sudoc.fr/16820052X'];Pas de notice trouvée dans le catalogue de la BnF
book;1900;"Parrot, A.; Det Norske misjonsselskap";Petite histoire élémentaire de Madagascar et de ses relations avec la France;;;107 s.;;;Paris;;Forfatterens navn i forordet;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1901;Johansen, Hjalmar;Avec Nansen au Pôle nord;;;255 s.;;;Geneve;;Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2011-10-08;['http://www.sudoc.fr/110801725'];Pas de notice trouvée dans le catalogue de la BnF
book;1901;Bjørnson, Bjørnstjerne;Laboremus;;;213 s.;;;Paris;;;['http://www.sudoc.fr/102690669', 'http://www.sudoc.fr/102691622', 'http://www.sudoc.fr/063098725'];['http://catalogue.bnf.fr/ark:/12148/cb30108899k', 'http://catalogue.bnf.fr/ark:/12148/cb30108900z', 'http://catalogue.bnf.fr/ark:/12148/cb387042842']
book;1901;"Bjørnson, Bjørnstjerne; Monnier, Auguste; Littmanson, Leopold";Au-delà des forces : première et deuxième partie;;;363 s.;;Bibliothèque cosmopolite;Paris;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
journalArticle;1901;"Bjørnson, Bjørnstjerne; Clemenceau, Georges";De l'intellectualité française : a Monsieur Georges Clemenceau;La Revue blanche;S. [259]-260;;T. 27(1901) = No.193;;;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
journalArticle;1901;Hamsun, Knut;Pan;La Revue blanche;S. [261]-276;;T. 27(1901) = No.193;;;;Utgitt som føljetong. Fortsettelse av 15. mars, 1. og 15. april, 1. og 15. mai og 1. juni 1901. Avsluttes i dette nr.;['http://www.sudoc.fr/102670757'];['http://catalogue.bnf.fr/ark:/12148/cb34944734h']
