RCR;PPN;Titre;Responsabilité principale;Responsabilité secondaire;Éditeur;Date;Titre original;IdRef Auteurs;Auteurs;IdRef Traducteurs;Traducteurs
301892102;https://www.sudoc.fr/018681840;Les luttes des paysans en Norvège du XVIe au XIXe siècle;Halvdan Koht,...;traduction française de E. Guerre,...;;;;['079030076'];['Koht, Halvdan (1873-1965)'];['074780352'];['Guerre, Édouard (19..-19..)']
751142102;https://www.sudoc.fr/065731441;Œuvres complètes;Henrik Ibsen;traduites par P.-G. La Chesnais;;;;['027325032'];['Ibsen, Henrik (1828-1906)'];['02695592X'];['La Chesnais, Pierre Georget (1865-1948)']
751142102;https://www.sudoc.fr/065731433;Œuvres complètes;Henrik Ibsen;traduites par P.-G. La Chesnais;;;;['027325032'];['Ibsen, Henrik (1828-1906)'];['02695592X'];['La Chesnais, Pierre Georget (1865-1948)']
751142102;https://www.sudoc.fr/065731417;Oeuvres complètes;Henrik Ibsen;traduites par P.G. La Chesnais;;;;['027325032'];['Ibsen, Henrik (1828-1906)'];['02695592X'];['La Chesnais, Pierre Georget (1865-1948)']
751142102;https://www.sudoc.fr/06558256X;Oeuvres complètes;Henrik Ibsen;traduites par P.-G. La Chesnais;Plon;1937;;['027325032'];['Ibsen, Henrik (1828-1906)'];['02695592X'];['La Chesnais, Pierre Georget (1865-1948)']
751142102;https://www.sudoc.fr/065582551;Œuvres complètes;Henrik Ibsen;traduites par P.-G. La Chesnais;;;;['027325032'];['Ibsen, Henrik (1828-1906)'];['02695592X'];['La Chesnais, Pierre Georget (1865-1948)']
751142102;https://www.sudoc.fr/048414123;Oeuvres complètes;Henrik Ibsen;traduites par P.G. La Chesnais;Plon;1943;;['027325032'];['Ibsen, Henrik (1828-1906)'];['02695592X'];['La Chesnais, Pierre Georget (1865-1948)']
751142102;https://www.sudoc.fr/048413933;Oeuvres complètes;Henrik Ibsen;traduites par P.G. La Chesnais;Plon;1941;;['027325032'];['Ibsen, Henrik (1828-1906)'];['02695592X'];['La Chesnais, Pierre Georget (1865-1948)']
751142102;https://www.sudoc.fr/048413739;Oeuvres complètes;Henrik Ibsen;traduites par P.-G. La Chesnais;;;;['027325032'];['Ibsen, Henrik (1828-1906)'];['02695592X'];['La Chesnais, Pierre Georget (1865-1948)']
751142102;https://www.sudoc.fr/047898968;Œuvres complètes;Henrik Ibsen;traduites par P.-G. La Chesnais;;;;['027325032'];['Ibsen, Henrik (1828-1906)'];['02695592X'];['La Chesnais, Pierre Georget (1865-1948)']
