Date,Notices du catalogue,Titre,Titre original,Éditeur,Responsabilité principale,Responsabilité secondaire,Nom Traducteurs,ISNI Traducteurs
1901,http://catalogue.bnf.fr/ark:/12148/cb34944734h,Pan : roman,,Éditions de la Revue blanche,Knut Hamsun,trad. du norvégien par Mme R. Rémusat,[],[]
1901,http://catalogue.bnf.fr/ark:/12148/cb35700215v,Au delà des forces,,P.-V. Stock,Björnstjerne Björnson,trad. de M. A. Monnier pour la première partie et de MM. A. Monnier et Littmanson pour la seconde partie,"['Monnier, Auguste  (1871-1917)', 'Littmanson, Leopold  (1847-19..)']","['ISNI0000000116479587', 'ISNI0000000123574726']"
1901,http://catalogue.bnf.fr/ark:/12148/cb309643139,Au delà des forces,Over Ævne,P.-V. Syock,Björnstjerne Björnson,"traduction de M. A. Monnier pour la première partie, et de MM. A. Monnier et Littmanson pour la seconde partie","['Monnier, Auguste  (1871-1917)', 'Littmanson, Leopold  (1847-19..)']","['ISNI0000000116479587', 'ISNI0000000123574726']"
1901,http://catalogue.bnf.fr/ark:/12148/cb359589122,"Le roi : drame en quatre actes et quatre entr'actes, un prologue et un épilogue : drame en quatre actes",Kongen,P.-V. Stock,Bjørnstjerne Bjørnson,traduction de M. Auguste Monnier,"['Monnier, Auguste  (1871-1917)']",['ISNI0000000116479587']
1902,http://catalogue.bnf.fr/ark:/12148/cb306325702,Les prétendants à la couronne,,P.-V. Stock,Henrik Ibsen,traduction Jacques Trigant-Geneste,"['Trigant-Geneste, Jacques ']",['ISNI0000000001515410']
1902,http://catalogue.bnf.fr/ark:/12148/cb306325853,Les soutiens de la société,,P.-V. Stock,Henrik Ibsen,traduction de Pierre Bertrand et Edmond de Nevers,"['Bertrand, Pierre  (1850-1924)', 'Nevers, Edmond de  (1862-1906)']","['ISNI0000000080981419', 'ISNI0000000083862343']"
1902,http://catalogue.bnf.fr/ark:/12148/cb30632566t,Empereur et Galiléen,,P. Stock,Henrik Ibsen,"traduction de Ch. de Casanove, avec une préface","['Bigault de Casanove, Charles de  (1847-1910)']",['ISNI0000000001024021']
1903,http://catalogue.bnf.fr/ark:/12148/cb31423020z,"Quatre années dans les glaces du Pôle : second voyage du ""Fram"" de Nansen",,E. Flammarion,Otto Sverdrup,traduit et abrégé par Charles Rabot...,"['Rabot, Charles  (1856-1944)']",['ISNI000000012101643X']
1903,http://catalogue.bnf.fr/ark:/12148/cb30632544h,Madame Inger à Ostraat : pièce historique en cinq actes,,P. Lamm,Henrik Ibsen,"traduit du norvégien d'après l'édition définitive de Copenhague, par le vicomlte de Colleville et F. de Zepelin","['Colleville, Ludovic de  (1855-1918)', 'Zepelin, Fritz de  (1868-1926)']","['ISNI0000000072434327', 'ISNI0000000077308936']"
1903,http://catalogue.bnf.fr/ark:/12148/cb30632533v,"Catilina : drame en 3 actes et en vers,",,P. Lamm,Henrik Ibsen,"traduit du norvégien par le Vte de Colleville et F. de Zepelin, et précédé d'une préface des traducteurs","['Colleville, Ludovic de  (1855-1918)', 'Zepelin, Fritz de  (1868-1926)']","['ISNI0000000072434327', 'ISNI0000000077308936']"
